Movie_name,Genre,reviews
The Shawshank redemption,Drama,Good Screenplay and direction. Story plot goes along.
The Shawshank redemption,Drama,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it
The Shawshank redemption,Drama,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.
The Shawshank redemption,Drama,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne."
Angry men,Crime,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...
Angry men,Crime,"Good Movie, Worth Watching it."
Angry men,Crime,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.
angry men,Crime,Enjoyed the subject matter and the fine acting by the female actors
angry men,Crime,Great movie suggest you to see in theater
The Dark Knight,Action,Robert De Niro is a gifted artist. All his movies including this are amazing
The Dark Knight,Action,Interesting movie new concept
The Dark Knight,Action,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.
The Dark Knight,Action,"Perfectly showing the side of society, we ignore"
The Dark Knight,Action,One of the aweosme movie in long long time. Must watch for quality time spending
The Matrix,Sci-Fi,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone"
The Matrix,Sci-Fi,"The rollercoster of dark emotions
Perfect oscar deserving movie"
The Matrix,Sci-Fi,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
The Matrix,Sci-Fi,Very nice movie awesome thanks so much for the movie
The Matrix,Sci-Fi,makes the film an absolute viewing delight.
Forest Gump,Romance,Tips to you on your site for me as the best for a long shot in to get to you by
Forest Gump,Romance,Good historical movie about war between humanity.
Forest Gump,Romance,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
Forest Gump,Romance,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
Forest Gump,Romance,The position of the outpost is brilliantly choose.
America Beauty,Drama,Very good story plot. One of the best flims i've ever watched.
America Beauty,Drama,Nice movie and drama movie review poster premiere
America Beauty,Drama,Very good movie for youths and teenagers. That whom loves adventure movies.
America Beauty,Drama,Very good direction and very good acting too. Nice movie to watch in a weekend.
America Beauty,Drama,"not as sequel, good for individual watch"
The Godfather,Crime,very good movie to watch
The Godfather,Crime,"I did not like Babadook, but this one is actually different. One time watch movie"
The Godfather,Crime,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars."
The Godfather,Crime,Great Movie
The Godfather,Crime,One time watch
the Departed,Thriller,Good Screenplay and direction. Story plot goes along.
the Departed,Thriller,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it
the Departed,Thriller,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.
the Departed,Thriller,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne."
the Departed,Thriller,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...
The Prestige,Mystery,"Good Movie, Worth Watching it."
The Prestige,Mystery,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.
The Prestige,Mystery,Enjoyed the subject matter and the fine acting by the female actors
The Prestige,Mystery,Great movie suggest you to see in theater
The Prestige,Mystery,Robert De Niro is a gifted artist. All his movies including this are amazing
Gladiator,adventure,Interesting movie new concept
Gladiator,adventure,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.
Gladiator,adventure,"Perfectly showing the side of society, we ignore"
Gladiator,adventure,One of the aweosme movie in long long time. Must watch for quality time spending
Gladiator,adventure,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone"
Inglourious Basterds,war,"The rollercoster of dark emotions
Perfect oscar deserving movie"
Inglourious Basterds,war,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
Inglourious Basterds,war,Very nice movie awesome thanks so much for the movie
Inglourious Basterds,war,makes the film an absolute viewing delight.
Inglourious Basterds,war,Tips to you on your site for me as the best for a long shot in to get to you by
Million Dollar baby,Sport,Good historical movie about war between humanity.
Million Dollar baby,Sport,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
Million Dollar baby,Sport,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
Million Dollar baby,Sport,The position of the outpost is brilliantly choose.
Million Dollar baby,Sport,Very good story plot. One of the best flims i've ever watched.
The Aviator,Biography,Nice movie and drama movie review poster premiere
The Aviator,Biography,Very good movie for youths and teenagers. That whom loves adventure movies.
The Aviator,Biography,Very good direction and very good acting too. Nice movie to watch in a weekend.
The Aviator,Biography,"not as sequel, good for individual watch"
The Aviator,Biography,very good movie to watch
Avatar,Fantasy,"I did not like Babadook, but this one is actually different. One time watch movie"
Avatar,Fantasy,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars."
Avatar,Fantasy,Great Movie
Avatar,Fantasy,One time watch
Avatar,Fantasy,Good Screenplay and direction. Story plot goes along.
Big Fish,Fantasy,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it
Big Fish,Fantasy,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.
Big Fish,Fantasy,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne."
Big Fish,Fantasy,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...
Big Fish,Fantasy,"Good Movie, Worth Watching it."
Big Fish,Fantasy,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.
Big Fish,Fantasy,Enjoyed the subject matter and the fine acting by the female actors
Big Fish,Fantasy,Great movie suggest you to see in theater
Meet Joe Black,Romance,Robert De Niro is a gifted artist. All his movies including this are amazing
Meet Joe Black,Romance,Interesting movie new concept
Meet Joe Black,Romance,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.
Meet Joe Black,Romance,"Perfectly showing the side of society, we ignore"
Meet Joe Black,Romance,One of the aweosme movie in long long time. Must watch for quality time spending
The Town,Thriller,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone"
The Town,Thriller,"The rollercoster of dark emotions
Perfect oscar deserving movie"
The Town,Thriller,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
The Town,Thriller,Very nice movie awesome thanks so much for the movie
The Town,Thriller,makes the film an absolute viewing delight.
Schndler's List,History,Tips to you on your site for me as the best for a long shot in to get to you by
Schndler's List,History,Good historical movie about war between humanity.
Schndler's List,History,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
Schndler's List,History,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
Schndler's List,History,The position of the outpost is brilliantly choose.
Titanic,Drama,Very good story plot. One of the best flims i've ever watched.
Titanic,Drama,Nice movie and drama movie review poster premiere
Titanic,Drama,Very good movie for youths and teenagers. That whom loves adventure movies.
Titanic,Drama,Very good direction and very good acting too. Nice movie to watch in a weekend.
Titanic,Drama,"not as sequel, good for individual watch"
spy game,Crime,very good movie to watch
spy game,Crime,"I did not like Babadook, but this one is actually different. One time watch movie"
spy game,Crime,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars."
spy game,Crime,Great Movie
spy game,Crime,One time watch
psycho,Mystery,Good Screenplay and direction. Story plot goes along.
psycho,Mystery,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it
psycho,Mystery,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.
psycho,Mystery,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne."
psycho,Mystery,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...
pay check,Sci-Fi,"Good Movie, Worth Watching it."
pay check,Sci-Fi,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.
pay check,Sci-Fi,Enjoyed the subject matter and the fine acting by the female actors
pay check,Sci-Fi,Great movie suggest you to see in theater
pay check,Sci-Fi,Robert De Niro is a gifted artist. All his movies including this are amazing
Mission impossible II,Action,Interesting movie new concept
Mission impossible II,Action,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.
Mission impossible II,Action,"Perfectly showing the side of society, we ignore"
Mission impossible II,Action,One of the aweosme movie in long long time. Must watch for quality time spending
Mission impossible II,Action,loved it
Pay it forward,Drama,"The rollercoster of dark emotions
Perfect oscar deserving movie"
Pay it forward,Drama,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
Pay it forward,Drama,Very nice movie awesome thanks so much for the movie
